Motor,Traccion,Peso,Potencia,Transmision,Aerodinamica,Marca,Performance
Aspirado,Integral,Pesado,Alta,Manual,Baja,Generalista,Baja
Turbo,Trasera,Medio,Alta,Manual,Alta,Premium,Alta
Hibrido,Trasera,Medio,Media,Automatica,Baja,Deportiva,Alta
Turbo,Integral,Ligero,Alta,Manual,Baja,Generalista,Alta
Turbo,Delantera,Medio,Alta,DCT,Alta,Generalista,Alta
Aspirado,Delantera,Medio,Baja,DCT,Baja,Premium,Baja
Turbo,Integral,Ligero,Baja,Automatica,Baja,Deportiva,Alta
Aspirado,Trasera,Ligero,Alta,Manual,Baja,Generalista,Alta
Aspirado,Trasera,Ligero,Alta,Automatica,Media,Generalista,Alta
Aspirado,Delantera,Ligero,Baja,DCT,Alta,Premium,Alta
Aspirado,Integral,Ligero,Media,DCT,Media,Generalista,Alta
Turbo,Integral,Ligero,Media,Manual,Alta,Premium,Alta
Aspirado,Integral,Pesado,Baja,Manual,Alta,Generalista,Baja
Turbo,Integral,Ligero,Alta,DCT,Baja,Deportiva,Alta
Aspirado,Integral,Pesado,Alta,Manual,Baja,Generalista,Baja
Turbo,Delantera,Pesado,Baja,DCT,Media,Generalista,Baja
Turbo,Integral,Pesado,Baja,Automatica,Alta,Deportiva,Alta
Hibrido,Delantera,Pesado,Media,Automatica,Baja,Generalista,Baja
Hibrido,Delantera,Pesado,Alta,Automatica,Baja,Generalista,Baja
Hibrido,Delantera,Ligero,Alta,Manual,Alta,Deportiva,Alta
Turbo,Integral,Medio,Baja,Manual,Baja,Deportiva,Baja
Hibrido,Trasera,Medio,Media,Manual,Media,Deportiva,Alta
Hibrido,Delantera,Ligero,Baja,Automatica,Alta,Generalista,Baja
Aspirado,Trasera,Medio,Alta,Automatica,Alta,Deportiva,Alta
Aspirado,Integral,Medio,Alta,DCT,Baja,Premium,Alta
Hibrido,Delantera,Pesado,Alta,Manual,Baja,Deportiva,Baja
Hibrido,Delantera,Pesado,Media,Automatica,Baja,Deportiva,Baja
Aspirado,Integral,Pesado,Alta,Automatica,Alta,Generalista,Alta
Hibrido,Delantera,Medio,Media,DCT,Media,Deportiva,Alta
Hibrido,Trasera,Medio,Alta,DCT,Alta,Premium,Alta
Hibrido,Integral,Medio,Media,Manual,Alta,Deportiva,Alta
Turbo,Delantera,Pesado,Media,DCT,Alta,Generalista,Baja
Hibrido,Integral,Ligero,Baja,DCT,Alta,Premium,Alta
Aspirado,Integral,Ligero,Alta,Manual,Media,Generalista,Alta
Aspirado,Delantera,Ligero,Media,DCT,Media,Premium,Alta
Aspirado,Trasera,Medio,Media,DCT,Alta,Deportiva,Alta
Hibrido,Integral,Medio,Media,Manual,Media,Premium,Alta
Hibrido,Trasera,Medio,Media,DCT,Alta,Premium,Alta
Hibrido,Integral,Pesado,Alta,Manual,Media,Premium,Alta
Turbo,Integral,Medio,Alta,Automatica,Media,Generalista,Alta
Hibrido,Trasera,Ligero,Baja,DCT,Media,Generalista,Alta
Hibrido,Integral,Medio,Alta,Automatica,Alta,Deportiva,Alta
Aspirado,Integral,Medio,Media,Automatica,Baja,Generalista,Baja
Hibrido,Trasera,Medio,Media,Automatica,Baja,Premium,Alta
Turbo,Trasera,Ligero,Baja,DCT,Baja,Deportiva,Alta
Aspirado,Integral,Medio,Alta,Automatica,Alta,Deportiva,Baja
Hibrido,Trasera,Medio,Alta,DCT,Media,Generalista,Alta
Turbo,Delantera,Medio,Media,DCT,Baja,Generalista,Baja
Aspirado,Integral,Ligero,Media,DCT,Baja,Premium,Alta
Hibrido,Delantera,Pesado,Alta,Manual,Media,Deportiva,Baja
Hibrido,Integral,Medio,Media,Manual,Alta,Deportiva,Alta
Aspirado,Delantera,Medio,Alta,Manual,Media,Generalista,Baja
Aspirado,Trasera,Ligero,Alta,Manual,Alta,Generalista,Alta
Turbo,Delantera,Pesado,Baja,DCT,Alta,Generalista,Baja
Turbo,Trasera,Ligero,Baja,Manual,Baja,Generalista,Baja
Turbo,Delantera,Medio,Baja,Automatica,Media,Generalista,Baja
Turbo,Trasera,Medio,Baja,Automatica,Alta,Premium,Alta
Hibrido,Trasera,Ligero,Baja,DCT,Media,Premium,Alta
Hibrido,Trasera,Medio,Baja,Manual,Baja,Deportiva,Baja
Hibrido,Delantera,Medio,Alta,Manual,Alta,Premium,Alta
Hibrido,Integral,Ligero,Media,Manual,Baja,Premium,Alta
Turbo,Integral,Ligero,Baja,DCT,Baja,Premium,Alta
Aspirado,Trasera,Ligero,Media,Automatica,Baja,Deportiva,Alta
Turbo,Integral,Ligero,Alta,DCT,Alta,Premium,Alta
Aspirado,Trasera,Pesado,Media,Automatica,Alta,Deportiva,Alta
Hibrido,Trasera,Pesado,Alta,DCT,Alta,Deportiva,Alta
Turbo,Integral,Ligero,Baja,Manual,Alta,Premium,Alta
Hibrido,Integral,Pesado,Alta,Manual,Alta,Premium,Alta
Hibrido,Delantera,Pesado,Media,Manual,Media,Generalista,Baja
Aspirado,Integral,Medio,Alta,Manual,Alta,Deportiva,Alta
Aspirado,Integral,Ligero,Baja,Manual,Media,Premium,Alta
Aspirado,Integral,Ligero,Alta,Automatica,Media,Deportiva,Alta
Aspirado,Trasera,Medio,Media,Automatica,Media,Deportiva,Alta
Turbo,Delantera,Medio,Alta,DCT,Alta,Premium,Baja
Aspirado,Trasera,Pesado,Alta,Automatica,Media,Premium,Alta
Hibrido,Trasera,Medio,Baja,Automatica,Baja,Premium,Baja
Aspirado,Trasera,Pesado,Baja,Automatica,Alta,Deportiva,Baja
Turbo,Integral,Pesado,Media,DCT,Media,Premium,Alta
Turbo,Integral,Ligero,Alta,Automatica,Media,Generalista,Alta
Hibrido,Trasera,Medio,Media,DCT,Media,Generalista,Baja
Aspirado,Trasera,Ligero,Media,Manual,Baja,Deportiva,Alta
Hibrido,Integral,Ligero,Media,Manual,Alta,Premium,Alta
Turbo,Trasera,Medio,Media,Automatica,Media,Deportiva,Alta
Aspirado,Integral,Pesado,Baja,Manual,Baja,Generalista,Baja
Hibrido,Trasera,Medio,Media,DCT,Baja,Premium,Alta
Hibrido,Integral,Ligero,Media,Manual,Alta,Deportiva,Alta
Aspirado,Delantera,Ligero,Media,Manual,Media,Premium,Baja
Hibrido,Delantera,Ligero,Baja,Manual,Baja,Premium,Baja
Turbo,Trasera,Medio,Alta,DCT,Media,Deportiva,Alta
Turbo,Trasera,Ligero,Alta,Automatica,Baja,Deportiva,Alta
Aspirado,Delantera,Ligero,Media,Automatica,Media,Generalista,Baja
Turbo,Delantera,Pesado,Baja,Automatica,Media,Deportiva,Baja
Turbo,Trasera,Ligero,Media,Manual,Baja,Generalista,Alta
Turbo,Trasera,Medio,Media,Automatica,Media,Deportiva,Alta
Turbo,Trasera,Ligero,Media,Automatica,Media,Deportiva,Alta
Aspirado,Delantera,Pesado,Alta,Automatica,Baja,Deportiva,Baja
Aspirado,Delantera,Medio,Media,DCT,Baja,Premium,Baja
Turbo,Integral,Pesado,Baja,DCT,Media,Premium,Alta
Aspirado,Delantera,Ligero,Media,Automatica,Media,Deportiva,Baja
Aspirado,Trasera,Medio,Alta,Manual,Media,Generalista,Alta
Aspirado,Trasera,Ligero,Alta,Manual,Baja,Deportiva,Alta
Aspirado,Trasera,Pesado,Baja,DCT,Baja,Generalista,Baja
Aspirado,Integral,Ligero,Baja,Manual,Alta,Deportiva,Alta
Turbo,Integral,Ligero,Alta,DCT,Media,Deportiva,Alta
Hibrido,Integral,Ligero,Baja,Automatica,Baja,Deportiva,Alta
Turbo,Delantera,Medio,Baja,Manual,Media,Deportiva,Baja
Turbo,Integral,Pesado,Alta,DCT,Media,Deportiva,Alta
Hibrido,Trasera,Ligero,Baja,Automatica,Alta,Generalista,Alta
Turbo,Integral,Pesado,Media,Automatica,Baja,Premium,Baja
Aspirado,Delantera,Ligero,Media,DCT,Baja,Premium,Baja
Aspirado,Trasera,Ligero,Alta,Automatica,Media,Premium,Alta
Hibrido,Integral,Ligero,Media,DCT,Alta,Deportiva,Alta
Aspirado,Integral,Ligero,Media,Automatica,Baja,Generalista,Alta
Turbo,Trasera,Pesado,Media,Automatica,Baja,Deportiva,Alta
Aspirado,Delantera,Ligero,Alta,Manual,Baja,Generalista,Baja
Turbo,Trasera,Ligero,Media,DCT,Alta,Generalista,Alta
Turbo,Trasera,Medio,Baja,DCT,Alta,Premium,Alta
Aspirado,Integral,Ligero,Media,Automatica,Media,Deportiva,Alta
Hibrido,Delantera,Ligero,Media,DCT,Alta,Deportiva,Alta
Turbo,Delantera,Medio,Baja,DCT,Media,Deportiva,Baja
Aspirado,Trasera,Pesado,Alta,Automatica,Media,Premium,Alta
Hibrido,Delantera,Ligero,Media,Automatica,Baja,Premium,Baja
Aspirado,Integral,Medio,Media,Automatica,Alta,Premium,Alta
Turbo,Integral,Ligero,Alta,Automatica,Baja,Deportiva,Alta
Hibrido,Integral,Medio,Baja,Automatica,Baja,Premium,Baja
Hibrido,Trasera,Ligero,Alta,DCT,Baja,Generalista,Alta
Hibrido,Integral,Ligero,Alta,DCT,Alta,Generalista,Alta
Turbo,Trasera,Ligero,Baja,DCT,Media,Deportiva,Alta
Hibrido,Trasera,Medio,Baja,DCT,Baja,Deportiva,Alta
Hibrido,Integral,Ligero,Alta,Manual,Alta,Generalista,Alta
Turbo,Trasera,Pesado,Alta,Automatica,Media,Premium,Alta
Turbo,Trasera,Pesado,Baja,DCT,Baja,Generalista,Baja
Hibrido,Delantera,Pesado,Media,Manual,Alta,Deportiva,Alta
Turbo,Integral,Ligero,Alta,Manual,Alta,Deportiva,Alta
Hibrido,Trasera,Ligero,Media,Manual,Baja,Generalista,Alta
Hibrido,Delantera,Medio,Baja,Manual,Baja,Premium,Alta
Turbo,Delantera,Medio,Baja,Automatica,Alta,Premium,Baja
Hibrido,Integral,Ligero,Baja,Automatica,Media,Deportiva,Alta
